PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Tanrikulu, Omer Daglar; Froyen, Vicky; Feldman, Jacob; Singh, Manish								When Is Accreting/Deleting Texture Seen as In Front? Interpretation of Depth From Texture Motion								PERCEPTION				47	7			694	721		10.1177/0301006618776119			JUL 2018	2018										0							WOS:000436064300002		
J	Zhang, Di; Nourrit, Vincent; de la Tocnaye, Jean-Louis De Bougrenet								Enhancing Motion-In-Depth Perception of Random-Dot Stereograms								PERCEPTION				47	7			722	734		10.1177/0301006618775026			JUL 2018	2018										0							WOS:000436064300003		
J	Shain, Lindsey M.; Norman, J. Farley								Aging and the Visual Perception of Motion Direction: Solving the Aperture Problem								PERCEPTION				47	7			735	750		10.1177/0301006618777711			JUL 2018	2018										0							WOS:000436064300004		
J	Yamasaki, Daiki; Miyoshi, Kiyofumi; Altmann, Christian F.; Ashida, Hiroshi								Front-Presented Looming Sound Selectively Alters the Perceived Size of a Visual Looming Object								PERCEPTION				47	7			751	771		10.1177/0301006618777708			JUL 2018	2018										0							WOS:000436064300005		
J	Kobayashi, Yuki; Matsushita, Soyogu; Morikawa, Kazunori								"Glowing Gray" Does Exist: Luminance Gradients' Influence on Whiteness Perception								PERCEPTION				47	7			772	779		10.1177/0301006618775238			JUL 2018	2018										0							WOS:000436064300006		
J	Valsecchi, Matteo; Stucchi, Natale; Scocchia, Lisa								Repulsive Serial Effects in Visual Numerosity Judgments								PERCEPTION				47	7			780	788		10.1177/0301006618775235			JUL 2018	2018										0							WOS:000436064300007		
J	Logan, Gordon D.								Automatic Control: How Experts Act Without Thinking								PSYCHOLOGICAL REVIEW				125	4			453	485		10.1037/rev0000100			JUL 2018	2018										0							WOS:000436512000001		
J	Nassar, Matthew R.; Helmers, Julie C.; Frank, Michael J.								Chunking as a Rational Strategy for Lossy Data Compression in Visual Working Memory								PSYCHOLOGICAL REVIEW				125	4			486	511		10.1037/rev0000101			JUL 2018	2018										2							WOS:000436512000002		
J	Noguchi, Takao; Stewart, Neil								Multialternative Decision by Sampling: A Model of Decision Making Constrained by Process Data								PSYCHOLOGICAL REVIEW				125	4			512	544		10.1037/rev0000102			JUL 2018	2018										3							WOS:000436512000003		
J	Eguchi, Akihiro; Isbister, James B.; Ahmad, Nasir; Stringer, Simon								The Emergence of Polychronization and Feature Binding in a Spiking Neural Network Model of the Primate Ventral Visual System								PSYCHOLOGICAL REVIEW				125	4			545	571		10.1037/rev0000103			JUL 2018	2018										3							WOS:000436512000004		
J	Busemeyer, Jerome R.; Wang, Zheng								Hilbert Space Multidimensional Theory								PSYCHOLOGICAL REVIEW				125	4			572	591		10.1037/rev0000106			JUL 2018	2018										2							WOS:000436512000005		
J	Evans, Nathan J.; Brown, Scott D.; Mewhort, Douglas J. K.; Heathcote, Andrew								Refining the Law of Practice								PSYCHOLOGICAL REVIEW				125	4			592	605		10.1037/rev0000105			JUL 2018	2018										1							WOS:000436512000006		
J	Bringmann, Laura F.; Eronen, Markus I.								Don't Blame the Model: Reconsidering the Network Approach to Psychopathology								PSYCHOLOGICAL REVIEW				125	4			606	615		10.1037/rev0000108			JUL 2018	2018										5							WOS:000436512000007		
J	McKee, Kathleen; Glass, Sean; Adams, Caitlin; Stephen, Christopher D.; King, Franklin; Parlrnan, Kristin; Perez, David L.; Kontos, Nicholas								The Inpatient Assessment and Management of Motor Functional Neurological Disorders: An Interdisciplinary Perspective								PSYCHOSOMATICS				59	4			358	368		10.1016/j.psym.2017.12.006			JUL-AUG 2018	2018										2							WOS:000436479700006		
