PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Cosway, R; Byrne, M; Clafferty, R; Hodges, A; Grant, E; Morris, J; Abukmeil, SS; Lawrie, SM; Miller, P; Owens, DGC; Johnstone, EC								Sustained attention in young people at high risk for schizophrenia								PSYCHOLOGICAL MEDICINE				32	2			277	286		10.1017/S0033291701005050			FEB 2002	2002										44							WOS:000173990900010		
J	Badcock, JC; Michie, PT; Johnson, L; Combrinck, J								Acts of control in schizophrenia: dissociating the components of inhibition								PSYCHOLOGICAL MEDICINE				32	2			287	297		10.1017/S0033291701005128			FEB 2002	2002										76							WOS:000173990900011		
J	Meadows, G; Burgess, P; Bobevski, I; Fossey, E; Harvey, C; Liaw, ST								Perceived need for mental health care: influences of diagnosis, demography and disability								PSYCHOLOGICAL MEDICINE				32	2			299	309		10.1017/S0033291701004913			FEB 2002	2002										59							WOS:000173990900012		
J	Ten Have, M; Vollebergh, W; Bijl, R; Ormel, J								Combined effect of mental disorder and low social support on care service use for mental health problems in the Dutch general population								PSYCHOLOGICAL MEDICINE				32	2			311	323		10.1017/S0033291701005013			FEB 2002	2002										40							WOS:000173990900013		
J	Goodwin, R; Engstrom, G								Personality and the perception of health in the general population								PSYCHOLOGICAL MEDICINE				32	2			325	332		10.1017/S0033291701005104			FEB 2002	2002										91							WOS:000173990900014		
J	Bultmann, U; Kant, I; Van den Brandt, PA; Kasl, SV								Psychosocial work characteristics as risk factors for the onset of fatigue and psychological distress: prospective results from the Maastricht Cohort Study								PSYCHOLOGICAL MEDICINE				32	2			333	345		10.1017/S0033291701005098			FEB 2002	2002										130							WOS:000173990900015		
J	Stefanis, NC; Hanssen, M; Smirnis, NK; Avramopoulos, DA; Evdokimidis, IK; Stefanis, CN; Verdoux, H; Van Os, J								Evidence that three dimensions of psychosis have a distribution in the general population								PSYCHOLOGICAL MEDICINE				32	2			347	358		10.1017/S0033291701005141			FEB 2002	2002										437							WOS:000173990900016		
J	Cassidy, F; Carroll, BJ								Vascular risk factors in late onset mania								PSYCHOLOGICAL MEDICINE				32	2			359	362		10.1017/S0033291701004718			FEB 2002	2002										48							WOS:000173990900017		
J	Lindeman, S; Kaprio, J; Isometsa, E; Poikolainen, K; Heikkinen, M; Hamalainen, J; Haarasilta, L; Laukkala, T; Aro, H								Spousal resemblance for history of major depressive episode in the previous year								PSYCHOLOGICAL MEDICINE				32	2			363	367		10.1017/S0033291701004785			FEB 2002	2002										9							WOS:000173990900018		
J	Han, SH; Humphreys, GW								Segmentation and selection contribute to local processing in hierarchical analysis								QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY SECTION A-HUMAN EXPERIMENTAL PSYCHOLOGY				55	1			5	21		10.1080/02724980143000127			FEB 2002	2002										25							WOS:000173108200002		
J	Soto-Faraco, S; Spence, C								Modality-specific auditory and visual temporal processing deficits								QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY SECTION A-HUMAN EXPERIMENTAL PSYCHOLOGY				55	1			23	40					FEB 2002	2002										79							WOS:000173108200003		
J	Santamaria, C; Espino, O								Conditionals and directionality: On the meaning of if vs. only if								QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY SECTION A-HUMAN EXPERIMENTAL PSYCHOLOGY				55	1			41	57		10.1080/02724980143000145			FEB 2002	2002										18							WOS:000173108200004		
J	Proctor, RW; Wang, HF; Vu, KPL								Influences of different combinations of conceptual, perceptual, and structural similarity on stimulus-response compatibility								QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY SECTION A-HUMAN EXPERIMENTAL PSYCHOLOGY				55	1			59	74					FEB 2002	2002										22							WOS:000173108200005		
J	Traxler, MJ								Plausibility and subcategorization preference in children's processing of temporarily ambiguous sentences: Evidence from self-paced reading								QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY SECTION A-HUMAN EXPERIMENTAL PSYCHOLOGY				55	1			75	96		10.1080/02724980143000172			FEB 2002	2002										36							WOS:000173108200006		
J	White, PA								Perceiving a strong causal relation in a weak contingency: Further investigation of the evidential evaluation model of causal judgement								QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY SECTION A-HUMAN EXPERIMENTAL PSYCHOLOGY				55	1			97	114		10.1080/02724980143000181			FEB 2002	2002										19							WOS:000173108200007		
J	Nakatani, C; Pollatsek, A; Johnson, SH								Viewpoint-dependent recognition of scenes								QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY SECTION A-HUMAN EXPERIMENTAL PSYCHOLOGY				55	1			115	139		10.1080/02724980143000190			FEB 2002	2002						37th Annual Meeting of the Psychonomic-Society	OCT 31-NOV 03, 1996	Psychon Soc; Natl Sci Fdn; USN, Off Nav Res	CHICAGO, ILLINOIS	16							WOS:000173108200008		
J	Lamberts, K								Feature sampling in categorization and recognition of objects								QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY SECTION A-HUMAN EXPERIMENTAL PSYCHOLOGY				55	1			141	154		10.1080/02724980143000208			FEB 2002	2002						Experimental-Psychology-Society-and-Cognitive-Aging Conference	1998	Experiment Psychol Soc	LONDON, ENGLAND	25							WOS:000173108200009		
J	Semjen, A; Summers, JJ								Timing goals in bimanual coordination								QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY SECTION A-HUMAN EXPERIMENTAL PSYCHOLOGY				55	1			155	171		10.1080/02724980143000226			FEB 2002	2002										19							WOS:000173108200010		
J	Kinder, A; Lachnit, H								Responding under time pressure: Testing two animal learning models and a model of visual categorization								QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY SECTION A-HUMAN EXPERIMENTAL PSYCHOLOGY				55	1			173	193					FEB 2002	2002										8							WOS:000173108200011		
J	Cheung, H; Wooltorton, L								Verbal short-term memory as an articulatory system: Evidence from an alternative paradigm								QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY SECTION A-HUMAN EXPERIMENTAL PSYCHOLOGY				55	1			195	223		10.1080/02724980143000244			FEB 2002	2002										3							WOS:000173108200012		
J	Liversedge, SP; Paterson, KB; Clayes, EL								The influence of only on syntactic processing of "long" relative clause sentences								QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY SECTION A-HUMAN EXPERIMENTAL PSYCHOLOGY				55	1			225	240					FEB 2002	2002										25							WOS:000173108200013		
J	Burns, BD; Vollmeyer, R								Goal specificity effects on hypothesis testing in problem solving								QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY SECTION A-HUMAN EXPERIMENTAL PSYCHOLOGY				55	1			241	261					FEB 2002	2002										53							WOS:000173108200014		
J	Lochy, A; Pillon, A; Zesiger, P; Seron, X								Verbal structure of numerals and digits handwriting: New evidence from kinematics								QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY SECTION A-HUMAN EXPERIMENTAL PSYCHOLOGY				55	1			263	288		10.1080/02724980143000271			FEB 2002	2002										10							WOS:000173108200015		
J	Miller, J; Navon, D								Global precedence and response activation: Evidence from LRPs								QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY SECTION A-HUMAN EXPERIMENTAL PSYCHOLOGY				55	1			289	310		10.1080/02724980143000280			FEB 2002	2002						39th Annual Meeting of the Psychonomic-Society	NOV 19-22, 1998	Psychon Soc	DALLAS, TEXAS	17							WOS:000173108200016		
