PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Fisher, Kevin M.; Etnier, Jennifer L.								Examining the Time Course of Attention During Golf Putts of Two Different Lengths in Experienced Golfers								JOURNAL OF APPLIED SPORT PSYCHOLOGY				26	4			457	470		10.1080/10413200.2014.929602			OCT-DEC 2014	2014										1							WOS:000340382000006		
J	Cabrita, Tulia Maia; Rosado, Antonio Boleto; Leite, Teresa Oliveira; Serpa, Sidonio Oliverio; Sousa, Paulo Malico								The Relationship Between Athletic Identity and Career Decisions in Athletes								JOURNAL OF APPLIED SPORT PSYCHOLOGY				26	4			471	481		10.1080/10413200.2014.931312			OCT-DEC 2014	2014										9							WOS:000340382000007		
J	Serrano, Jose M.; Pons, Rosa M.								Introduction: Cooperative Learning								ANALES DE PSICOLOGIA				30	3			781	784		10.6018/analesps.30.3.201251			OCT 2014	2014										4							WOS:000339704800001		
J	Slavin, Robert E.								Cooperative Learning and Academic Achievement: Why Does Groupwork Work?								ANALES DE PSICOLOGIA				30	3			785	791		10.6018/analesps.30.3.201201			OCT 2014	2014										25							WOS:000339704800002		
J	Gillies, Robyn M.								Developments in Cooperative Learning: Review of Research								ANALES DE PSICOLOGIA				30	3			792	801		10.6018/analesps.30.3.201191			OCT 2014	2014										7							WOS:000339704800003		
J	Sharan, Yael								Learning to cooperate for cooperative learning								ANALES DE PSICOLOGIA				30	3			802	807		10.6018/analesps.30.3.201211			OCT 2014	2014										7							WOS:000339704800004		
J	Surian, Alessio; Damini, Marialuisa								"Becoming" a cooperative learner-teacher								ANALES DE PSICOLOGIA				30	3			808	817		10.6018/analesps.30.3.201521			OCT 2014	2014										2							WOS:000339704800005		
J	Coll, Cesar; Engel, Anna								Making meaning through joint activity in Computer-Supported Collaborative Learning (CSCL) settings: The interplay between content-related and activity-related talk								ANALES DE PSICOLOGIA				30	3			818	831		10.6018/analesps.30.3.201181			OCT 2014	2014										2							WOS:000339704800006		
J	Pons, Rosa M.; Prieto, Maria D.; Lomeli, Clotilde; Bermejo, Maria R.; Bulut, Sefa								Cooperative learning in mathematics: a study on the effects of the parameter of equality on academic performance								ANALES DE PSICOLOGIA				30	3			832	840		10.6018/analesps.30.3.201231			OCT 2014	2014										4							WOS:000339704800007		
J	Johnson, David W.; Johnson, Roger T.								Cooperative Learning in 21st Century								ANALES DE PSICOLOGIA				30	3			841	851		10.6018/analesps.30.3.201241			OCT 2014	2014										24							WOS:000339704800008		
