PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Nikolopoulos, Georgios K.; Sypsa, Vana; Bonovas, Stefanos; Paraskevis, Dimitrios; Malliori-Minerva, Melpomeni; Hatzakis, Angelos; Friedman, Samuel R.								Big Events in Greece and HIV Infection Among People Who Inject Drugs								SUBSTANCE USE & MISUSE				50	7			825	838		10.3109/10826084.2015.978659			JUN 2015	2015										16							WOS:000360165400002		
J	Nutton, Jennifer; Fast, Elizabeth								Historical Trauma, Substance Use, and Indigenous Peoples: Seven Generations of Harm From a "Big Event"								SUBSTANCE USE & MISUSE				50	7			839	847		10.3109/10826084.2015.1018755			JUN 2015	2015										6							WOS:000360165400003		
J	Tarjan, Anna; Dudas, Maria; Gyarmathy, V. Anna; Rusvai, Erzsebet; Treso, Baaint; Csohan, Agnes								Emerging Risks Due to New Injecting Patterns in Hungary During Austerity Times								SUBSTANCE USE & MISUSE				50	7			848	858		10.3109/10826084.2015.978672			JUN 2015	2015										15							WOS:000360165400004		
J	Deilamizade, Abbas; Esmizade, Sara								Economic Sanctions Against Iran, and Drug Use in Tehran, Iran: A 2013 Pilot Study								SUBSTANCE USE & MISUSE				50	7			859	868		10.3109/10826084.2015.978673			JUN 2015	2015										3							WOS:000360165400005		
J	Tang, Wai-Man								Entangled in Big Events: Rise of Heroin Use Among Children of Ex-Gurkhas in Hong Kong								SUBSTANCE USE & MISUSE				50	7			869	877		10.3109/10826084.2015.978661			JUN 2015	2015										1							WOS:000360165400006		
J	Pouget, Enrique R.; Sandoval, Milagros; Nikolopoulos, Georgios K.; Friedman, Samuel R.								Immediate Impact of Hurricane Sandy on People Who Inject Drugs in New York City								SUBSTANCE USE & MISUSE				50	7			878	884		10.3109/10826084.2015.978675			JUN 2015	2015										8							WOS:000360165400007		
J	Howle, Timothy C.; Dimmock, James A.; Whipp, Peter R.; Jackson, Ben								The Self-Presentation Motives for Physical Activity Questionnaire: Instrument Development and Preliminary Construct Validity Evidence								JOURNAL OF SPORT & EXERCISE PSYCHOLOGY				37	3			225	243		10.1123/jsep.2014-0134			JUN 2015	2015										4							WOS:000360029600001		
J	Boat, Ruth; Taylor, Ian M.								Patterns of Change in Psychological Variables Leading up to Competition in Superior Versus Inferior Performers								JOURNAL OF SPORT & EXERCISE PSYCHOLOGY				37	3			244	256		10.1123/jsep.2014-0216			JUN 2015	2015										4							WOS:000360029600002		
J	Hodge, Ken; Gucciardi, Daniel F.								Antisocial and Prosocial Behavior in Sport: The Role of Motivational Climate, Basic Psychological Needs, and Moral Disengagement								JOURNAL OF SPORT & EXERCISE PSYCHOLOGY				37	3			257	273		10.1123/jsep.2014-0225			JUN 2015	2015										28							WOS:000360029600003		
J	Fransen, Katrien; Van Puyenbroeck, Stef; Loughead, Todd M.; Vanbeselaere, Norbert; De Cuyper, Bert; Vande Broek, Gert; Boen, Filip								The Art of Athlete Leadership: Identifying High-Quality Athlete Leadership at the Individual and Team Level Through Social Network Analysis								JOURNAL OF SPORT & EXERCISE PSYCHOLOGY				37	3			274	290		10.1123/jsep.2014-0259			JUN 2015	2015										16							WOS:000360029600004		
J	Petushek, Erich J.; Cokely, Edward T.; Ward, Paul; Myer, Gregory D.								Injury Risk Estimation Expertise: Cognitive-Perceptual Mechanisms of ACL-IQ								JOURNAL OF SPORT & EXERCISE PSYCHOLOGY				37	3			291	304		10.1123/jsep.2014-0315			JUN 2015	2015										2							WOS:000360029600005		
J	Madigan, Daniel J.; Stoeber, Joachim; Passfield, Louis								Perfectionism and Burnout in Junior Athletes: A Three-Month Longitudinal Study								JOURNAL OF SPORT & EXERCISE PSYCHOLOGY				37	3			305	315		10.1123/jsep.2014-0266			JUN 2015	2015										28							WOS:000360029600006		
J	Riedl, Dennis; Heuer, Andreas; Strauss, Bernd								Why the Three-Point Rule Failed to Sufficiently Reduce the Number of Draws in Soccer: An Application of Prospect Theory								JOURNAL OF SPORT & EXERCISE PSYCHOLOGY				37	3			316	326		10.1123/jsep.2015-0018			JUN 2015	2015										1							WOS:000360029600007		
J	Malhotra, Neha; Poolton, Jamie M.; Wilson, Mark R.; Uiga, Liis; Masters, Rich S. W.								Examining Movement-Specific Reinvestment and Performance in Demanding Contexts								JOURNAL OF SPORT & EXERCISE PSYCHOLOGY				37	3			327	338		10.1123/jsep.2014-0220			JUN 2015	2015										3							WOS:000360029600008		
J	Moore, Lee J.; Vine, Samuel J.; Wilson, Mark R.; Freeman, Paul								Reappraising Threat: How to Optimize Performance Under Pressure								JOURNAL OF SPORT & EXERCISE PSYCHOLOGY				37	3			339	343		10.1123/jsep.2014-0186			JUN 2015	2015										21							WOS:000360029600009		
J	Eys, Mark; Ohlert, Jeannine; Evans, M. Blair; Wolf, Svenja A.; Martin, Luc J.; Van Bussel, Michael; Steins, Charlotte								Cohesion and Performance for Female and Male Sport Teams								SPORT PSYCHOLOGIST				29	2			97	109		10.1123/tsp.2014-0027			JUN 2015	2015										8							WOS:000359183500001		
J	Bertollo, Maurizio; di Fronso, Selenia; Filho, Edson; Lamberti, Vito; Ripari, Patrizio; Reis, Victor Machado; Comani, Silvia; Bortoli, Laura; Robazza, Claudio								To Focus or Not to Focus: Is Attention on the Core Components of Action Beneficial for Cycling Performance?								SPORT PSYCHOLOGIST				29	2			110	119		10.1123/tsp.2014-0046			JUN 2015	2015										21							WOS:000359183500002		
J	Cosh, Suzanne; Tully, Phillip J.								Stressors, Coping, and Support Mechanisms for Student Athletes Combining Elite Sport and Tertiary Education: Implications for Practice								SPORT PSYCHOLOGIST				29	2			120	133		10.1123/tsp.2014-0102			JUN 2015	2015										14							WOS:000359183500003		
