PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Xie, Ying; Chen, Mingliang; Lai, Hongxia; Zhang, Wuke; Zhao, Zhen; Anwar, Ch. Mahmood								Neural Basis of Two Kinds of Social Influence: Obedience and Conformity								FRONTIERS IN HUMAN NEUROSCIENCE				10						51	10.3389/fnhum.2016.00051			FEB 22 2016	2016										0							WOS:000370694200001		
J	Elmer, Stefan; Kuehnis, Juerg								Functional Connectivity in the Left Dorsal Stream Facilitates Simultaneous Language Translation: An EEG Study								FRONTIERS IN HUMAN NEUROSCIENCE				10						60	10.3389/fnhum.2016.00060			FEB 19 2016	2016										2							WOS:000370413700001		
J	Storzer, Lena; Butz, Markus; Hirschmann, Jan; Abbasi, Omid; Gratkowski, Maciej; Saupe, Dietmar; Schnitzler, Alfons; Dalal, Sarang S.								Bicycling and Walking are Associated with Different Cortical Oscillatory Dynamics								FRONTIERS IN HUMAN NEUROSCIENCE				10						61	10.3389/fnhum.2016.00061			FEB 19 2016	2016										11							WOS:000370413700002		
J	Wang, Bin; Guo, Jiayue; Yan, Tianyi; Ohno, Seiichiro; Kanazawa, Susumu; Huang, Qiang; Wu, Jinglong								Neural Responses to Central and Peripheral Objects in the Lateral Occipital Cortex								FRONTIERS IN HUMAN NEUROSCIENCE				10						54	10.3389/fnhurn.2010.00054			FEB 19 2016	2016										2							WOS:000370413600001		
J	Wang, Min; Yang, Ping; Zhao, Qian-Jing; Wang, Meng; Jin, Zhenlan; Li, Ling								Differential Preparation Intervals Modulate Repetition Processes in Task Switching: An ERP Study								FRONTIERS IN HUMAN NEUROSCIENCE				10						57	10.3389/fnhurn.2010.00057			FEB 18 2016	2016										4							WOS:000370413500001		
J	Cook, Carolyn M.; Suhr, Julie A.								Effects of screening for postconcussive syndrome (PCS) on PCS symptom self-report and neuropsychological test performance								CLINICAL NEUROPSYCHOLOGIST				30	2			284	300		10.1080/13854046.2016.1139186			FEB 17 2016	2016										2							WOS:000373400600008		
J	Miranda, Caitlin; Renteria, Miguel Arce; Fuentes, Armando; Coulehan, Kelly; Arentoft, Alyssa; Byrd, Desiree; Rosario, Ana; Monzones, Jennifer; Morgello, Susan; Mindt, Monica Rivera								The Relative Utility of Three English Language Dominance Measures in Predicting the Neuropsychological Performance of HIV plus Bilingual Latino/a Adults								CLINICAL NEUROPSYCHOLOGIST				30	2			185	200		10.1080/13854046.2016.1139185			FEB 17 2016	2016										1							WOS:000373400600002		
J	Giovannetti, Ambra Mara; Schiavolin, Silvia; Brenna, Greta; Brambilla, Laura; Confalonieri, Paolo; Cortese, Francesca; Covelli, Venusia; Frangiamore, Rita; Leonardi, Matilde; Mantegazza, Renato; Moscatelli, Marco; Ponzio, Michela; Clerici, Valentina Torri; Zaratin, Paola; Raggi, Alberto								Cognitive function alone is a poor predictor of health-related quality of life in employed patients with MS: results from a cross-sectional study								CLINICAL NEUROPSYCHOLOGIST				30	2			201	215		10.1080/13854046.2016.1142614			FEB 17 2016	2016										3							WOS:000373400600003		
J	Hahn-Ketter, Amanda E.; Whiteside, Douglas M.; Pliskin, Neil; Rice, Linda								Long-term consequences of electrical injury: neuropsychological predictors of adjustment								CLINICAL NEUROPSYCHOLOGIST				30	2			216	227		10.1080/13854046.2016.1155647			FEB 17 2016	2016										1							WOS:000373400600004		
J	Carral-Fernandez, Laura; Gonzalez-Blanch, Cesar; Goddard, Elizabeth; Gonzalez-Gomez, Jana; Benito-Gonzalez, Pilar; Bustamante-Cruz, Encarnacion; Gomez del Barrio, Andres								Planning Abilities in Patients with Anorexia Nervosa Compared with Healthy Controls								CLINICAL NEUROPSYCHOLOGIST				30	2			228	242		10.1080/13854046.2016.1147603			FEB 17 2016	2016										2							WOS:000373400600005		
