PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	McAdams, Tom A.; Rijsdijk, Fruhling V.; Narusyte, Jurgita; Ganiban, Jody M.; Reiss, David; Spotts, Erica; Neiderhiser, Jenae M.; Lichtenstein, Paul; Eley, Thalia C.								Associations between the parent-child relationship and adolescent self-worth: a genetically informed study of twin parents and their adolescent children								JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY				58	1			46	54		10.1111/jcpp.12600			JAN 2017	2017										5							WOS:000392504100008		
J	Hawes, Samuel W.; Byrd, Amy L.; Waller, Rebecca; Lynam, Donald R.; Pardini, Dustin A.								Late childhood interpersonal callousness and conduct problem trajectories interact to predict adult psychopathy								JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY				58	1			55	63		10.1111/jcpp.12598			JAN 2017	2017										4							WOS:000392504100009		
J	Dykens, Elisabeth M.; Roof, Elizabeth; Hunt-Hawkins, Hailee								Cognitive and adaptive advantages of growth hormone treatment in children with Prader-Willi syndrome								JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY				58	1			64	74		10.1111/jcpp.12601			JAN 2017	2017										6							WOS:000392504100010		
J	Mascheretti, Sara; Trezzi, Vittoria; Giorda, Roberto; Boivin, Michel; Plourde, Vickie; Vitaro, Frank; Brendgen, Mara; Dionne, Ginette; Marino, Cecilia								Complex effects of dyslexia risk factors account for ADHD traits: evidence from two independent samples								JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY				58	1			75	82		10.1111/jcpp.12612			JAN 2017	2017										6							WOS:000392504100011		
J	Johnson, Mats; Fransson, Gunnar; Ostlund, Sven; Areskoug, Bjoern; Gillberg, Christopher								Omega 3/6 fatty acids for reading in children: a randomized, double-blind, placebo-controlled trial in 9-year-old mainstream schoolchildren in Sweden								JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY				58	1			83	93		10.1111/jcpp.12614			JAN 2017	2017										10							WOS:000392504100012		
J	Locke, Jill; Williams, Justin; Shih, Wendy; Kasari, Connie								Characteristics of socially successful elementary school-aged children with autism								JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY				58	1			94	102		10.1111/jcpp.12636			JAN 2017	2017										9							WOS:000392504100013		
J	Wessing, Ida; Romer, Georg; Junghoefer, Markus								Hypervigilance-avoidance in children with anxiety disorders: magnetoencephalographic evidence								JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY				58	1			103	112		10.1111/jcpp.12617			JAN 2017	2017										2							WOS:000392504100014		
J	Zhao, Jiaying; Luo, Yu								Statistical regularities guide the spatial scale of attention								ATTENTION PERCEPTION & PSYCHOPHYSICS				79	1			24	30		10.3758/s13414-016-1233-1			JAN 2017	2017										3							WOS:000391476400002		
J	Ocampo, Brenda								The Influence of Masked Stimuli on Response Selection: Evidence from a Semantic Categorization Task								ATTENTION PERCEPTION & PSYCHOPHYSICS				79	1			31	38		10.3758/s13414-016-1234-0			JAN 2017	2017										1							WOS:000391476400003		
J	Siegel, Zachary D.; Kelly, Jonathan W.								Walking through a virtual environment improves perceived size within and beyond the walked space								ATTENTION PERCEPTION & PSYCHOPHYSICS				79	1			39	44		10.3758/s13414-016-1243-z			JAN 2017	2017										5							WOS:000391476400004		
J	Gaspelin, Nicholas; Leonard, Carly J.; Luck, Steven J.								Suppression of overt attentional capture by salient-but-irrelevant color singletons								ATTENTION PERCEPTION & PSYCHOPHYSICS				79	1			45	62		10.3758/s13414-016-1209-1			JAN 2017	2017										25							WOS:000391476400005		
