PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	PERFETTI, CA; BEVERLY, S; BELL, L; RODGERS, K; FAUX, R								COMPREHENDING NEWSPAPER HEADLINES								JOURNAL OF MEMORY AND LANGUAGE				26	6			692	713		10.1016/0749-596X(87)90110-0			DEC 1987	1987										20							WOS:A1987L156800007		
J	WARNER, J; GLASS, AL								CONTEXT AND DISTANCE-TO-DISAMBIGUATION EFFECTS IN AMBIGUITY RESOLUTION - EVIDENCE FROM GRAMMATICALITY JUDGMENTS OF GARDEN PATH SENTENCES								JOURNAL OF MEMORY AND LANGUAGE				26	6			714	738		10.1016/0749-596X(87)90111-2			DEC 1987	1987										42							WOS:A1987L156800008		
J	CLARK, JE; PHILLIPS, SJ								THE STEP CYCLE ORGANIZATION OF INFANT WALKERS								JOURNAL OF MOTOR BEHAVIOR				19	4			421	433					DEC 1987	1987										12							WOS:A1987N201900001		
J	BELANGER, M; PATLA, AE								PHASE-DEPENDENT COMPENSATORY RESPONSES TO PERTURBATION APPLIED DURING WALKING IN HUMANS								JOURNAL OF MOTOR BEHAVIOR				19	4			434	453					DEC 1987	1987										32							WOS:A1987N201900002		
J	PATLA, AE; BELANGER, M								TASK-DEPENDENT COMPENSATORY RESPONSES TO PERTURBATIONS APPLIED DURING RHYTHMIC MOVEMENTS IN HUMANS								JOURNAL OF MOTOR BEHAVIOR				19	4			454	475					DEC 1987	1987										11							WOS:A1987N201900003		
J	ELLIOTT, D								THE INFLUENCE OF WALKING SPEED AND PRIOR PRACTICE ON LOCOMOTOR DISTANCE ESTIMATION								JOURNAL OF MOTOR BEHAVIOR				19	4			476	485					DEC 1987	1987										62							WOS:A1987N201900004		
J	GUIARD, Y								ASYMMETRIC DIVISION OF LABOR IN HUMAN SKILLED BIMANUAL ACTION - THE KINEMATIC CHAIN AS A MODEL								JOURNAL OF MOTOR BEHAVIOR				19	4			486	517					DEC 1987	1987										336							WOS:A1987N201900005		
J	TERHARDT, E; GRUBERT, A								FACTORS AFFECTING PITCH JUDGMENTS AS A FUNCTION OF SPECTRAL COMPOSITION								PERCEPTION & PSYCHOPHYSICS				42	6			511	514		10.3758/BF03207982			DEC 1987	1987										7							WOS:A1987L267100001		
J	EVANS, PM								VIBROTACTILE MASKING - TEMPORAL INTEGRATION, PERSISTENCE, AND STRENGTHS OF REPRESENTATIONS								PERCEPTION & PSYCHOPHYSICS				42	6			515	525		10.3758/BF03207983			DEC 1987	1987										31							WOS:A1987L267100002		
J	FINLAY, D; VONGRUNAU, M								SOME EXPERIMENTS ON THE BREAKDOWN EFFECT IN APPARENT MOTION								PERCEPTION & PSYCHOPHYSICS				42	6			526	534		10.3758/BF03207984			DEC 1987	1987										22							WOS:A1987L267100003		
J	ELLIS, SR; SMITH, S; MCGREEVY, MW								DISTORTIONS OF PERCEIVED VISUAL DIRECTIONS OUT OF PICTURES								PERCEPTION & PSYCHOPHYSICS				42	6			535	544		10.3758/BF03207985			DEC 1987	1987										11							WOS:A1987L267100004		
J	TODOROVIC, D								THE CRAIK-OBRIEN-CORNSWEET EFFECT - NEW VARIETIES AND THEIR THEORETICAL IMPLICATIONS								PERCEPTION & PSYCHOPHYSICS				42	6			545	&		10.3758/BF03207986			DEC 1987	1987										38							WOS:A1987L267100005		
J	DAY, RH; JOLLY, WJ; DUFFY, FM								NO EVIDENCE FOR APPARENT EXTENT BETWEEN PARALLELS AS THE BASIS OF THE POGGENDORFF EFFECT								PERCEPTION & PSYCHOPHYSICS				42	6			561	568		10.3758/BF03207987			DEC 1987	1987										11							WOS:A1987L267100006		
J	SLOANE, ME; BLAKE, R								PERCEPTUALLY UNEQUAL SPATIAL-FREQUENCIES DO NOT YIELD STEREOSCOPIC TILT								PERCEPTION & PSYCHOPHYSICS				42	6			569	575		10.3758/BF03207988			DEC 1987	1987										0							WOS:A1987L267100007		
J	MURPHY, TD; ERIKSEN, CW								TEMPORAL CHANGES IN THE DISTRIBUTION OF ATTENTION IN THE VISUAL-FIELD IN RESPONSE TO PRECUES								PERCEPTION & PSYCHOPHYSICS				42	6			576	586		10.3758/BF03207989			DEC 1987	1987										86							WOS:A1987L267100008		
J	GREEN, KP								THE PERCEPTION OF SPEAKING RATE USING VISUAL INFORMATION FROM A TALKERS FACE								PERCEPTION & PSYCHOPHYSICS				42	6			587	593		10.3758/BF03207990			DEC 1987	1987										9							WOS:A1987L267100009		
J	ELLIOT, J; PLATT, JR; RACINE, RJ								ADJUSTMENT OF SUCCESSIVE AND SIMULTANEOUS INTERVALS BY MUSICALLY EXPERIENCED AND INEXPERIENCED SUBJECTS								PERCEPTION & PSYCHOPHYSICS				42	6			594	598		10.3758/BF03207991			DEC 1987	1987										14							WOS:A1987L267100010		
J	KRUPAR, K; PHILIPP, L; MAYNARD, P								COOPERATIVE EDUCATION - HERES ONE PROGRAM THAT REALLY WORKS								PERSONNEL				64	12			20	&					DEC 1987	1987										0							WOS:A1987L111100004		
J	SULLIVAN, FL								IMMIGRATION LEGISLATION - AN UPDATE								PERSONNEL				64	12			26	&					DEC 1987	1987										0							WOS:A1987L111100005		
J	TAYLOR, RR								WEVE BEEN SOLD - DIARY OF A TAKEOVER TARGET								PERSONNEL				64	12			34	41					DEC 1987	1987										0							WOS:A1987L111100006		
J	SMALLWOOD, WN; JACOBSEN, E								IS THERE LIFE AFTER DOWNSIZING								PERSONNEL				64	12			42	46					DEC 1987	1987										2							WOS:A1987L111100007		
J	STAMATIS, DH								CONFLICT - YOUVE GOT TO ACCENTUATE THE POSITIVE								PERSONNEL				64	12			47	50					DEC 1987	1987										1							WOS:A1987L111100008		
J	KIRKHAM, RL								COMMUNICATING TO INFLUENCE OTHERS MORE EFFECTIVELY								PERSONNEL				64	12			52	55					DEC 1987	1987										0							WOS:A1987L111100009		
J	BLAI, B								EMOTIONAL MATURITY AT WORK - TIPS FOR THE HR EXECUTIVE								PERSONNEL				64	12			56	58					DEC 1987	1987										0							WOS:A1987L111100010		
