PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	LEW, A								USE AND MISUSE OF DREIKURSIAN PRINCIPLES IN PARENT EDUCATION								INDIVIDUAL PSYCHOLOGIST				15	2			41	45					1978	1978										0							WOS:A1978FG92400007		
J	NYSTUL, MS								ADLER AS A SHERLOCKIAN								INDIVIDUAL PSYCHOLOGIST				15	1			41	45					1978	1978										1							WOS:A1978FK05200007		
J	FULLER, GM; PEW, WL								FAMILY AND MARRIAGE EDUCATION RECORDING								INDIVIDUAL PSYCHOLOGIST				15	1			46	52					1978	1978										0							WOS:A1978FK05200008		
J	ROM, P								CRIMINALS ARE DISCOURAGED PERSONS								INDIVIDUAL PSYCHOLOGIST				15	4			47	49					1978	1978										0							WOS:A1978GX05100006		
J	BORDEN, BL								CHILDRENS DISCUSSION GROUPS - POSITIVE FORCE IN BEHAVIORAL CHANGE								INDIVIDUAL PSYCHOLOGIST				15	1			53	61					1978	1978										1							WOS:A1978FK05200009		
J	FISHER, BL; SPRENKLE, DH								THERAPISTS PERCEPTIONS OF HEALTHY FAMILY FUNCTIONING								INTERNATIONAL JOURNAL OF FAMILY COUNSELING				6	2			9	18					1978	1978										8							WOS:A1978GN80300001		
J	ORTEN, JD								ORGANIZING CONCEPTS IN FAMILY-THERAPY								INTERNATIONAL JOURNAL OF FAMILY COUNSELING				6	1			9	16		10.1080/01926187808250270			1978	1978										0							WOS:A1978GN80200001		
J	DESHAZER, S								BRIEF THERAPY WITH COUPLES								INTERNATIONAL JOURNAL OF FAMILY COUNSELING				6	1			17	30					1978	1978										3							WOS:A1978GN80200002		
J	UMBARGER, C; WHITE, SL								REDEFINING THE PROBLEM - INDIVIDUAL SYMPTOM AND FAMILY SYSTEM								INTERNATIONAL JOURNAL OF FAMILY COUNSELING				6	2			19	24					1978	1978										6							WOS:A1978GN80300002		
J	FLANZER, JP								FAMILY-FOCUSED MANAGEMENT - TREATMENT OF CHOICE FOR DEVIANT AND DEPENDENT FAMILIES								INTERNATIONAL JOURNAL OF FAMILY COUNSELING				6	2			25	31					1978	1978										2							WOS:A1978GN80300003		
J	LEVANT, RF								CLIENT-CENTERED APPROACHES TO WORKING WITH THE FAMILY - OVERVIEW OF NEW DEVELOPMENTS IN THERAPEUTIC, EDUCATIONAL, AND PREVENTIVE METHODS								INTERNATIONAL JOURNAL OF FAMILY COUNSELING				6	1			31	44		10.1080/01926187808250272			1978	1978										7							WOS:A1978GN80200003		
J	CROAKE, JW; LYON, RS								RESEARCH DESIGN IN MARITAL ADJUSTMENT STUDIES								INTERNATIONAL JOURNAL OF FAMILY COUNSELING				6	2			32	35					1978	1978										1							WOS:A1978GN80300004		
J	[Anonymous]								ESSENCE OF BEING STUCK - IT TAKES ONE TO THINK YOU KNOW ONE OR WORK ON THE THERAPISTS OWN FAMILY								INTERNATIONAL JOURNAL OF FAMILY COUNSELING				6	2			36	41					1978	1978										0							WOS:A1978GN80300005		
J	FISCHER, J; ANDERSON, JM; ARVESON, E; BROWN, S								ADLERIAN FAMILY COUNSELING - EVALUATION								INTERNATIONAL JOURNAL OF FAMILY COUNSELING				6	2			42	44					1978	1978										5							WOS:A1978GN80300006		
J	HUNTER, WB; HACKNEY, N; KINGDON, ML								FAMILY INTERVENTION IN A TREATMENT PROGRAM FOR THE HOSPITALIZED ADOLESCENT								INTERNATIONAL JOURNAL OF FAMILY COUNSELING				6	1			45	51		10.1080/01926187808250273			1978	1978										0							WOS:A1978GN80200004		
J	WITKIN, SL; ROSE, SD								GROUP TRAINING IN COMMUNICATION-SKILLS FOR COUPLES - PRELIMINARY-REPORT								INTERNATIONAL JOURNAL OF FAMILY COUNSELING				6	2			45	56					1978	1978										10							WOS:A1978GN80300007		
J	TURNER, MC; TYNAN, SA; GROSS, SJ								STAYING OR SPLITTING - WHATS BEST FOR THE KIDS								INTERNATIONAL JOURNAL OF FAMILY COUNSELING				6	1			52	54		10.1080/01926187808250274			1978	1978										0							WOS:A1978GN80200005		
J	BAIDEME, SM; HILL, HA; SERRITELLA, DA								CONJOINT FAMILY-THERAPY FOLLOWING DIVORCE - ALTERNATIVE STRATEGY								INTERNATIONAL JOURNAL OF FAMILY COUNSELING				6	1			55	59		10.1080/01926187808250275			1978	1978										1							WOS:A1978GN80200006		
J	GAINES, T								FACTORS INFLUENCING FAILURE TO SHOW FOR A FAMILY EVALUATION								INTERNATIONAL JOURNAL OF FAMILY COUNSELING				6	2			57	61					1978	1978										14							WOS:A1978GN80300008		
J	MCDONOUGH, JJ								SIBLING ORDINAL POSITION AND FAMILY EDUCATION								INTERNATIONAL JOURNAL OF FAMILY COUNSELING				6	2			62	69					1978	1978										1							WOS:A1978GN80300009		
J	FRIEDMAN, R; DREIZEN, K; HARRIS, L; SCHOEN, P; SHULMAN, P								PARENT POWER - HOLDING TECHNIQUE IN THE TREATMENT OF OMNIPOTENT CHILDREN								INTERNATIONAL JOURNAL OF FAMILY COUNSELING				6	1			66	73		10.1080/01926187808250277			1978	1978										5							WOS:A1978GN80200008		
J	VISHER, EB; VISHER, JS								MAJOR AREAS OF DIFFICULTY FOR STEPPARENT COUPLES								INTERNATIONAL JOURNAL OF FAMILY COUNSELING				6	2			70	80					1978	1978										9							WOS:A1978GN80300010		
J	GASTA, C; STEER, RA; KOTZKER, E; SCHUT, J								RELATIONSHIP BETWEEN SIMILARITY OF NEEDS AND MARITAL ADJUSTMENT IN DYADIC AND MONADIC HEROIN ADDICTED COUPLES								INTERNATIONAL JOURNAL OF FAMILY COUNSELING				6	1			74	80		10.1080/01926187808250278			1978	1978										0							WOS:A1978GN80200009		
J	MARGOLIN, G								MULTILEVEL APPROACH TO THE ASSESSMENT OF COMMUNICATION POSITIVENESS IN DISTRESSED MARITAL COUPLES								INTERNATIONAL JOURNAL OF FAMILY COUNSELING				6	1			81	89		10.1080/01926187808250279			1978	1978										5							WOS:A1978GN80200010		
J	WOODY, RH								FAMILY COUNSELORS AND CHILD-CUSTODY								INTERNATIONAL JOURNAL OF FAMILY COUNSELING				6	2			81	88					1978	1978										0							WOS:A1978GN80300011		
J	HAJEK, P; HAVRANEK, T								GUHA METHOD - ITS AIMS AND TECHNIQUES (24 QUESTIONS AND ANSWERS)								INTERNATIONAL JOURNAL OF MAN-MACHINE STUDIES				10	1			3	22		10.1016/S0020-7373(78)80031-5			1978	1978										26							WOS:A1978EZ92700001		
J	RAUCH, J								SOME REMARKS ON COMPUTER REALIZATIONS OF GUHA PROCEDURES								INTERNATIONAL JOURNAL OF MAN-MACHINE STUDIES				10	1			23	28		10.1016/S0020-7373(78)80032-7			1978	1978										23							WOS:A1978EZ92700002		
J	RENC, Z; KUBAT, K; KOURIM, J								APPLICATION OF GUHA METHOD IN MEDICINE								INTERNATIONAL JOURNAL OF MAN-MACHINE STUDIES				10	1			29	35		10.1016/S0020-7373(78)80033-9			1978	1978										4							WOS:A1978EZ92700003		
J	RENC, Z								INTERPRETATION OF GUHA RESULTS								INTERNATIONAL JOURNAL OF MAN-MACHINE STUDIES				10	1			37	46		10.1016/S0020-7373(78)80034-0			1978	1978										4							WOS:A1978EZ92700004		
J	HAVRANEK, T; POKORNY, D								GUHA-STYLE PROCESSING OF MIXED DATA								INTERNATIONAL JOURNAL OF MAN-MACHINE STUDIES				10	1			47	57		10.1016/S0020-7373(78)80035-2			1978	1978										10							WOS:A1978EZ92700005		
J	HAVRANEK, T								ENUMERATION CALCULI AND RANK METHODS								INTERNATIONAL JOURNAL OF MAN-MACHINE STUDIES				10	1			59	65		10.1016/S0020-7373(78)80036-4			1978	1978										5							WOS:A1978EZ92700006		
J	HAVRANEK, T; VOSAHLO, J								GUHA PROCEDURE WITH CORRELATIONAL QUANTIFIERS								INTERNATIONAL JOURNAL OF MAN-MACHINE STUDIES				10	1			67	74		10.1016/S0020-7373(78)80037-6			1978	1978										6							WOS:A1978EZ92700007		
J	POKORNY, D								GUHA METHOD AND DESK CALCULATORS								INTERNATIONAL JOURNAL OF MAN-MACHINE STUDIES				10	1			75	86		10.1016/S0020-7373(78)80038-8			1978	1978										6							WOS:A1978EZ92700008		
J	HAVRANEK, T								STATISTICS OF MULTIDIMENSIONAL CONTINGENCY-TABLES AND GUHA METHOD								INTERNATIONAL JOURNAL OF MAN-MACHINE STUDIES				10	1			87	93		10.1016/S0020-7373(78)80039-X			1978	1978										4							WOS:A1978EZ92700009		
J	BUCK, JR; HANCOCK, WM								MANUAL OPTIMIZATION OF ILL-STRUCTURED PROBLEMS								INTERNATIONAL JOURNAL OF MAN-MACHINE STUDIES				10	2			95	111		10.1016/S0020-7373(78)80006-6			1978	1978										2							WOS:A1978FH94100001		
J	PARTRIDGE, D								SYNTACTIC VIEW OF SEMANTIC NETWORKS								INTERNATIONAL JOURNAL OF MAN-MACHINE STUDIES				10	2			113	119		10.1016/S0020-7373(78)80007-8			1978	1978										0							WOS:A1978FH94100002		
J	FRANKEL, RE; ROSENSCHEIN, SJ; SMOLIAR, SW								SCHENKER THEORY OF TONAL MUSIC - ITS EXPLICATION THROUGH COMPUTATIONAL PROCESSES								INTERNATIONAL JOURNAL OF MAN-MACHINE STUDIES				10	2			121	138		10.1016/S0020-7373(78)80008-X			1978	1978										12							WOS:A1978FH94100003		
J	SHAW, MLG; THOMAS, LF								FOCUS ON EDUCATION - INTERACTIVE COMPUTER SYSTEM FOR DEVELOPMENT AND ANALYSIS OF REPERTORY GRIDS								INTERNATIONAL JOURNAL OF MAN-MACHINE STUDIES				10	2			139	173		10.1016/S0020-7373(78)80009-1			1978	1978										20							WOS:A1978FH94100004		
