PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	DAROCHA, T; ROSENGARTEN, H; TROJANOWSKI, A								ELIMINATION DE PRECURSEURS DES PORPHYRINES CHEZ LHOMME SOUS LINFLUENCE DE BARBITURIQUES								AGRESSOLOGIE				5	6			649	+					1964	1964										0							WOS:A19646098000036		
J	SCHICK, A								THE CULTURAL BACKGROUND OF ADLER AND FREUD WORK								AMERICAN JOURNAL OF PSYCHOTHERAPY				18	1			7	24					1964	1964										3							WOS:A1964CAS2900002		
J	SOBEL, R								ROLE-CONFLICT OF RESISTANCE - A NEW LOOK AT CERTAIN PHASES OF PSYCHOTHERAPY								AMERICAN JOURNAL OF PSYCHOTHERAPY				18	1			25	34					1964	1964										9							WOS:A1964CAS2900003		
J	SCHOEN, SM								LSD IN PSYCHOTHERAPY								AMERICAN JOURNAL OF PSYCHOTHERAPY				18	1			35	51					1964	1964										1							WOS:A1964CAS2900004		
J	NIKELLY, AG								THE PSYCHOLOGIC PROBLEMS OF DEMOCRATIZATION								AMERICAN JOURNAL OF PSYCHOTHERAPY				18	1			52	58					1964	1964										1							WOS:A1964CAS2900005		
J	MORGAN, PK								APPLICATION OF SYMBOLIC REALIZATION TO THE REMOVAL OF HALLUCINATIONS IN CHILDHOOD SCHIZOPHRENIA								AMERICAN JOURNAL OF PSYCHOTHERAPY				18	1			59	65					1964	1964										1							WOS:A1964CAS2900006		
J	KIEV, A; FRANCIS, JL								SUBUD AND MENTAL-ILLNESS - PSYCHIATRIC-ILLNESS IN A RELIGIOUS SECT								AMERICAN JOURNAL OF PSYCHOTHERAPY				18	1			66	78					1964	1964										8							WOS:A1964CAS2900007		
J	ABRAMS, S								THE USE OF HYPNOTIC TECHNIQUES WITH PSYCHOTICS - A CRITICAL-REVIEW								AMERICAN JOURNAL OF PSYCHOTHERAPY				18	1			79	94					1964	1964										19							WOS:A1964CAS2900008		
J	MCINTYRE, PM								DYNAMICS AND TREATMENT OF THE PASSIVE-AGGRESSIVE UNDERACHIEVER								AMERICAN JOURNAL OF PSYCHOTHERAPY				18	1			95	108					1964	1964										1							WOS:A1964CAS2900009		
J	FERREIRA, AJ								ON SILENCE								AMERICAN JOURNAL OF PSYCHOTHERAPY				18	1			109	114					1964	1964										4							WOS:A1964CAS2900010		
J	SCODEL, A								INSPIRATIONAL GROUP-THERAPY - A STUDY OF GAMBLERS ANONYMOUS								AMERICAN JOURNAL OF PSYCHOTHERAPY				18	1			115	125					1964	1964										17							WOS:A1964CAS2900011		
J	LUCAS, D; LUDWIK, RG								GROUP-PSYCHOTHERAPY WITH DEPRESSED-PATIENTS INCORPORATING MOOD MUSIC								AMERICAN JOURNAL OF PSYCHOTHERAPY				18	1			126	137					1964	1964										5							WOS:A1964CAS2900012		
J	SEGUIN, CA								THE THEORY AND PRACTICE OF PSYCHIATRY IN PERU								AMERICAN JOURNAL OF PSYCHOTHERAPY				18	2			188	211					1964	1964										0							WOS:A1964CAS3000002		
J	SILVERMAN, S								THE ROLE OF MOTIVATION IN PSYCHOTHERAPEUTIC TREATMENT								AMERICAN JOURNAL OF PSYCHOTHERAPY				18	2			212	229					1964	1964										6							WOS:A1964CAS3000003		
J	ARTHUR, RJ; DICKERSON, WJ								HUMPTY DUMPTY IN UNIFORM								AMERICAN JOURNAL OF PSYCHOTHERAPY				18	2			230	235					1964	1964										4							WOS:A1964CAS3000004		
J	KAFKA, JS; GAARDER, KR								SOME EFFECTS OF THE THERAPISTS LSD EXPERIENCE ON HIS THERAPEUTIC WORK								AMERICAN JOURNAL OF PSYCHOTHERAPY				18	2			236	243					1964	1964										5							WOS:A1964CAS3000005		
J	RABINER, EL; GOMEZ, E; GRALNICK, A								THE THERAPEUTIC-COMMUNITY AS AN INSIGHT CATALYST - EXPANDING THE TRANSFERENTIAL FIELD								AMERICAN JOURNAL OF PSYCHOTHERAPY				18	2			244	258					1964	1964										4							WOS:A1964CAS3000006		
