PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	KRISTIANSON, P								A COMPARATIVE STUDY OF 2 ALCOHOLIC GROUPS AND A CONTROL GROUP								BRITISH JOURNAL OF MEDICAL PSYCHOLOGY				43	2			161	+		10.1111/j.2044-8341.1970.tb02113.x			1970	1970										11							WOS:A1970G456700005		
J	PLUTCHIK, R; PLATMAN, SR; FIEVE, RR								STABILITY OF EMOTIONAL CONTENT OF EARLY MEMORIES IN MANIC-DEPRESSIVE PATIENTS								BRITISH JOURNAL OF MEDICAL PSYCHOLOGY				43	2			177	&		10.1111/j.2044-8341.1970.tb02114.x			1970	1970										5							WOS:A1970G456700006		
J	MARTIN, HL								PARENTS AND CHILDRENS REACTIONS TO BURNS AND SCALDS IN CHILDREN								BRITISH JOURNAL OF MEDICAL PSYCHOLOGY				43	2			183	&		10.1111/j.2044-8341.1970.tb02115.x			1970	1970										38							WOS:A1970G456700007		
J	MCOMISKY, JG; WORSLEY, AR								A MODIFIED FORM OF VIGOTSKY TEST								BRITISH JOURNAL OF MEDICAL PSYCHOLOGY				43	2			193	&		10.1111/j.2044-8341.1970.tb02116.x			1970	1970										0							WOS:A1970G456700008		
J	LANDFIELD, AW								HIGH PRIESTS, REFLEXIVITY AND CONGRUENCY OF CLIENT-THERAPIST PERSONAL CONSTRUCT SYSTEMS								BRITISH JOURNAL OF MEDICAL PSYCHOLOGY				43	3			207	+		10.1111/j.2044-8341.1970.tb02118.x			1970	1970										1							WOS:A1970H252700002		
J	BONARIUS, JC								FIXED ROLE THERAPY - A DOUBLE PARADOX								BRITISH JOURNAL OF MEDICAL PSYCHOLOGY				43	3			213	&		10.1111/j.2044-8341.1970.tb02119.x			1970	1970										13							WOS:A1970H252700003		
J	WRIGHT, KJT								EXPLORING UNIQUENESS OF COMMON COMPLAINTS								BRITISH JOURNAL OF MEDICAL PSYCHOLOGY				43	3			221	&		10.1111/j.2044-8341.1970.tb02120.x			1970	1970										13							WOS:A1970H252700004		
J	RYCHLAK, JF								HUMAN PERSON IN MODERN PSYCHOLOGICAL SCIENCE								BRITISH JOURNAL OF MEDICAL PSYCHOLOGY				43	3			233	&		10.1111/j.2044-8341.1970.tb02121.x			1970	1970										5							WOS:A1970H252700005		
J	BANNISTER, D								PSYCHOLOGICAL THEORIES AS WAYS OF RELATING TO PEOPLE								BRITISH JOURNAL OF MEDICAL PSYCHOLOGY				43	3			241	+		10.1111/j.2044-8341.1970.tb02122.x			1970	1970										3							WOS:A1970H252700006		
J	MAIR, JMM								EXPERIMENTING WITH INDIVIDUALS								BRITISH JOURNAL OF MEDICAL PSYCHOLOGY				43	3			245	&		10.1111/j.2044-8341.1970.tb02123.x			1970	1970										5							WOS:A1970H252700007		
