PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	DENENBERG, VH; HALTMEYER, GC								TEST OF MONOTONICITY HYPOTHESIS CONCERNING INFANTILE STIMULATION AND EMOTIONAL REACTIVITY								JOURNAL OF COMPARATIVE AND PHYSIOLOGICAL PSYCHOLOGY				63	3			394	+		10.1037/h0024616			1967	1967										27							WOS:A19679470300006		
J	ROTH, LL; ROSENBLATT, JS								CHANGES IN SELF-LICKING DURING PREGNANCY IN RAT								JOURNAL OF COMPARATIVE AND PHYSIOLOGICAL PSYCHOLOGY				63	3			397	+		10.1037/h0024635			1967	1967										58							WOS:A19679470300007		
J	KIMBLE, DP; ROGERS, L; HENDRICKSON, CW								HIPPOCAMPAL LESIONS DISRUPT MATERNAL NOT SEXUAL BEHAVIOR IN ALBINO RAT								JOURNAL OF COMPARATIVE AND PHYSIOLOGICAL PSYCHOLOGY				63	3			401	+		10.1037/h0024605			1967	1967										88							WOS:A19679470300008		
J	HUTCHINSON, RR; RENFREW, JW								MODIFICATION OF EATING AND DRINKING - INTERACTIONS BETWEEN CHEMICAL AGENT DEPRIVATION STATE AND SITE OF STIMULATION								JOURNAL OF COMPARATIVE AND PHYSIOLOGICAL PSYCHOLOGY				63	3			408	+		10.1037/h0024612			1967	1967										15							WOS:A19679470300009		
J	QUARTERMAIN, D; MILLER, NE; WOLF, G								ROLE OF EXPERIENCE IN RELATIONSHIP BETWEEN SODIUM DEFICIENCY AND RATE OF BAR PRESSING FOR SALT								JOURNAL OF COMPARATIVE AND PHYSIOLOGICAL PSYCHOLOGY				63	3			417	+		10.1037/h0024611			1967	1967										28							WOS:A19679470300010		
J	ROZIN, P; RODGERS, W								NOVEL-DIET PREFERENCES IN VITAMIN-DEFICIENT RATS AND RATS RECOVERED FROM VITAMIN DEFICIENCY								JOURNAL OF COMPARATIVE AND PHYSIOLOGICAL PSYCHOLOGY				63	3			421	&		10.1037/h0024614			1967	1967										41							WOS:A19679470300011		
J	VALENSTEIN, ES								SELECTION OF NUTRITIVE AND NONNUTRITIVE SOLUTIONS UNDER DIFFERENT CONDITIONS OF NEED								JOURNAL OF COMPARATIVE AND PHYSIOLOGICAL PSYCHOLOGY				63	3			429	+		10.1037/h0024615			1967	1967										42							WOS:A19679470300012		
J	SMITH, JC; SCHAEFFER, RW								DEVELOPMENT OF WATER AND SACCHARIN PREFERENCES AFTER SIMULTANEOUS EXPOSURES TO SACCHARIN SOLUTION AND GAMMA RAYS								JOURNAL OF COMPARATIVE AND PHYSIOLOGICAL PSYCHOLOGY				63	3			434	+		10.1037/h0024625			1967	1967										14							WOS:A19679470300013		
J	BLOMQUIST, AJ; ANTEM, A								GUSTATORY DEFICITS PRODUCED BY MEDULLARY LESIONS IN WHITE RAT								JOURNAL OF COMPARATIVE AND PHYSIOLOGICAL PSYCHOLOGY				63	3			439	+		10.1037/h0024601			1967	1967										10							WOS:A19679470300014		
J	HERTZLER, DR; HAYES, WN								CORTICAL AND TECTAL FUNCTION IN VISUALLY GUIDED BEHAVIOR OF TURTLES								JOURNAL OF COMPARATIVE AND PHYSIOLOGICAL PSYCHOLOGY				63	3			444	&		10.1037/h0024602			1967	1967										16							WOS:A19679470300015		
